ZE;Bezeichnung;ZED;OPS-Kode;OPS-Text;Betrag
ZE93;Gabe von Human-Immunglobulin, polyvalent, parenteral;ZE93.07;8-810.w6;45 g bis unter 55 g;2.557,75 €
ZE93;Gabe von Human-Immunglobulin, polyvalent, parenteral;ZE93.08;8-810.w7;55 g bis unter 65 g;3.086,94 €
ZE93;Gabe von Human-Immunglobulin, polyvalent, parenteral;ZE93.09;8-810.w8;65 g bis unter 75 g;3.616,13 €
ZE93;Gabe von Human-Immunglobulin, polyvalent, parenteral;ZE93.10;8-810.w9;75 g bis unter 85 g;4.145,32 €
ZE93;Gabe von Human-Immunglobulin, polyvalent, parenteral;ZE93.11;8-810.wa;85 g bis unter 105 g;4.850,90 €
ZE93;Gabe von Human-Immunglobulin, polyvalent, parenteral;ZE93.12;8-810.wb;105 g bis unter 125 g;5.909,29 €
ZE93;Gabe von Human-Immunglobulin, polyvalent, parenteral;ZE93.13;8-810.wc;125 g bis unter 145 g;6.967,67 €
ZE93;Gabe von Human-Immunglobulin, polyvalent, parenteral;ZE93.14;8-810.wd;145 g bis unter 165 g;8.026,05 €
ZE93;Gabe von Human-Immunglobulin, polyvalent, parenteral;ZE93.15;8-810.we;165 g bis unter 185 g;9.084,42 €
ZE93;Gabe von Human-Immunglobulin, polyvalent, parenteral;ZE93.16;8-810.wf;185 g bis unter 205 g;10.142,80 €
ZE93;Gabe von Human-Immunglobulin, polyvalent, parenteral;ZE93.17;8-810.wg;205 g bis unter 225 g;11.201,19 €
ZE93;Gabe von Human-Immunglobulin, polyvalent, parenteral;ZE93.18;8-810.wh;225 g bis unter 245 g;12.259,57 €
ZE93;Gabe von Human-Immunglobulin, polyvalent, parenteral;ZE93.19;8-810.wj;245 g bis unter 285 g;13.670,74 €
ZE93;Gabe von Human-Immunglobulin, polyvalent, parenteral;ZE93.20;8-810.wk;285 g bis unter 325 g;15.787,50 €
ZE93;Gabe von Human-Immunglobulin, polyvalent, parenteral;ZE93.21;8-810.wm;325 g bis unter 365 g;17.904,25 €
ZE93;Gabe von Human-Immunglobulin, polyvalent, parenteral;ZE93.22;8-810.wn;365 g bis unter 445 g;20.726,60 €
ZE93;Gabe von Human-Immunglobulin, polyvalent, parenteral;ZE93.23;8-810.wp;445 g bis unter 525 g;25.665,71 €
ZE93;Gabe von Human-Immunglobulin, polyvalent, parenteral;ZE93.24;8-810.wq;525 g bis unter 605 g;29.899,23 €
ZE93;Gabe von Human-Immunglobulin, polyvalent, parenteral;ZE93.25;8-810.wr;605 g bis unter 685 g;34.132,75 €
ZE93;Gabe von Human-Immunglobulin, polyvalent, parenteral;ZE93.26;8-810.ws;685 g bis unter 765 g;38.366,26 €
ZE93;Gabe von Human-Immunglobulin, polyvalent, parenteral;ZE93.27;8-810.wt;765 g bis unter 845 g;42.599,79 €
ZE93;Gabe von Human-Immunglobulin, polyvalent, parenteral;ZE93.28;8-810.wu;845 g oder mehr;46.833,31 €
ZE96;Gabe von Carmustin, Implantat, intrathekal;;;Applikation von Medikamenten, Liste 3: Carmustin, Implantat, intrathekal;Applikation von Medikamenten, Liste 3: Carmustin, Implantat, intrathekal
ZE96;Gabe von Carmustin, Implantat, intrathekal;ZE96.01;6-003.30;4 Implantate bis unter 7 Implantate;7.798,23 €
ZE96;Gabe von Carmustin, Implantat, intrathekal;ZE96.02;6-003.31;7 Implantate bis unter 10 Implantate;12.477,17 €
ZE96;Gabe von Carmustin, Implantat, intrathekal;ZE96.03;6-003.32;10 oder mehr Implantate;17.156,11 €
ZE97;Gabe von Natalizumab, parenteral;;;Applikation von Medikamenten, Liste 3: Natalizumab, parenteral;Applikation von Medikamenten, Liste 3: Natalizumab, parenteral
ZE97;Gabe von Natalizumab, parenteral;ZE97.01;6-003.f0;300 mg bis unter 600 mg;2.222,52 €
ZE97;Gabe von Natalizumab, parenteral;ZE97.02;6-003.f1;600 mg bis unter 900 mg;4.445,04 €
ZE97;Gabe von Natalizumab, parenteral;ZE97.03;6-003.f2;900 mg oder mehr;6.667,56 €
ZE98;Gabe von Palivizumab, parenteral;;;Applikation von Medikamenten, Liste 4: Palivizumab, parenteral;Applikation von Medikamenten, Liste 4: Palivizumab, parenteral
ZE98;Gabe von Palivizumab, parenteral;ZE98.013);6-004.00;15 mg bis unter 30 mg;240,61 €
ZE98;Gabe von Palivizumab, parenteral;ZE98.023);6-004.01;30 mg bis unter 45 mg;421,07 €
ZE98;Gabe von Palivizumab, parenteral;ZE98.033);6-004.02;45 mg bis unter 60 mg;601,53 €
ZE98;Gabe von Palivizumab, parenteral;ZE98.043);6-004.03;60 mg bis unter 75 mg;781,99 €
ZE98;Gabe von Palivizumab, parenteral;ZE98.053);6-004.04;75 mg bis unter 90 mg;962,45 €
ZE98;Gabe von Palivizumab, parenteral;ZE98.063);6-004.05;90 mg bis unter 120 mg;1.203,06 €
ZE98;Gabe von Palivizumab, parenteral;ZE98.073);6-004.06;120 mg bis unter 150 mg;1.563,98 €
ZE98;Gabe von Palivizumab, parenteral;ZE98.083);6-004.07;150 mg bis unter 180 mg;1.924,90 €
ZE98;Gabe von Palivizumab, parenteral;ZE98.093);6-004.08;180 mg bis unter 240 mg;2.406,12 €
ZE98;Gabe von Palivizumab, parenteral;ZE98.103);6-004.09;240 mg bis unter 300 mg;3.127,96 €
ZE98;Gabe von Palivizumab, parenteral;ZE98.113);6-004.0a;300 mg bis unter 360 mg;3.849,79 €
ZE98;Gabe von Palivizumab, parenteral;ZE98.123);6-004.0b;360 mg bis unter 420 mg;4.571,63 €
ZE98;Gabe von Palivizumab, parenteral;ZE98.133);6-004.0c;420 mg bis unter 480 mg;5.293,46 €
ZE98;Gabe von Palivizumab, parenteral;ZE98.143);6-004.0d;480 mg bis unter 540 mg;6.015,30 €
ZE98;Gabe von Palivizumab, parenteral;ZE98.153);6-004.0e;540 mg bis unter 600 mg;6.737,14 €
ZE98;Gabe von Palivizumab, parenteral;ZE98.163);6-004.0f;600 mg oder mehr;7.458,97 €
ZE100;Implantation eines endobronchialen Klappensystems;;;Implantation oder Wechsel eines endobronchialen Klappensystems, endoskopisch;Implantation oder Wechsel eines endobronchialen Klappensystems, endoskopisch
ZE100;Implantation eines endobronchialen Klappensystems;ZE100.01;5-339.50;1 Ventil;1.344,52 €
ZE100;Implantation eines endobronchialen Klappensystems;ZE100.02;5-339.51;2 Ventile;2.689,04 €
ZE100;Implantation eines endobronchialen Klappensystems;ZE100.03;5-339.52;3 Ventile;4.033,56 €
ZE100;Implantation eines endobronchialen Klappensystems;ZE100.04;5-339.53;4 Ventile;5.378,08 €
ZE100;Implantation eines endobronchialen Klappensystems;ZE100.05;;Siehe weitere Differenzierung ZE100.06 bis ZE100.09;
ZE100;Implantation eines endobronchialen Klappensystems;ZE100.06;5-339.55;5 Ventile;6.722,60 €
ZE100;Implantation eines endobronchialen Klappensystems;ZE100.07;5-339.56;6 Ventile;8.067,12 €
ZE100;Implantation eines endobronchialen Klappensystems;ZE100.08;5-339.57;7 Ventile;9.411,64 €
ZE100;Implantation eines endobronchialen Klappensystems;ZE100.09;5-339.58;8 oder mehr Ventile;10.756,16 €
ZE101;Medikamente-freisetzende Koronarstents;ZE101.01;8-837.m0;Perkutan-transluminale Gefäßintervention an Herz und Koronargefäßen: Einlegen eines medikamentefreisetzenden Stents: Ein Stent in eine Koronararterie;46,68 €
ZE101;Medikamente-freisetzende Koronarstents;ZE101.01;8-83d.20;Andere perkutan-transluminale Gefäßintervention an Herz und Koronargefäßen: Einlegen eines medikamentefreisetzenden selbstexpandierenden Stents: Ein selbstexpandierender Stent in eine Koronararterie;46,68
ZE101;Medikamente-freisetzende Koronarstents;ZE101.02;8-837.m1;Perkutan-transluminale Gefäßintervention an Herz und Koronargefäßen: Einlegen eines medikamentefreisetzenden Stents: 2 Stents in eine Koronararterie;93,36 €
ZE101;Medikamente-freisetzende Koronarstents;ZE101.02;8-837.m2;Perkutan-transluminale Gefäßintervention an Herz und Koronargefäßen: Einlegen eines medikamentefreisetzenden Stents: 2 Stents in mehrere Koronararterien;93,36
ZE101;Medikamente-freisetzende Koronarstents;ZE101.02;8-83d.21;Andere perkutan-transluminale Gefäßintervention an Herz und Koronargefäßen: Einlegen eines medikamentefreisetzenden selbstexpandierenden Stents: 2 selbstexpandierende Stents in eine Koronararterie;93,36
ZE101;Medikamente-freisetzende Koronarstents;ZE101.02;8-83d.22;Andere perkutan-transluminale Gefäßintervention an Herz und Koronargefäßen: Einlegen eines medikamentefreisetzenden selbstexpandierenden Stents: 2 selbstexpandierende Stents in mehrere Koronararterien;93,36
ZE101;Medikamente-freisetzende Koronarstents;ZE101.03;8-837.m3;Perkutan-transluminale Gefäßintervention an Herz und Koronargefäßen: Einlegen eines medikamentefreisetzenden Stents: 3 Stents in eine Koronararterie;140,04 €
ZE101;Medikamente-freisetzende Koronarstents;ZE101.03;8-837.m4;Perkutan-transluminale Gefäßintervention an Herz und Koronargefäßen: Einlegen eines medikamentefreisetzenden Stents: 3 Stents in mehrere Koronararterien;140,04
ZE101;Medikamente-freisetzende Koronarstents;ZE101.03;8-83d.23;Andere perkutan-transluminale Gefäßintervention an Herz und Koronargefäßen: Einlegen eines medikamentefreisetzenden selbstexpandierenden Stents: 3 selbstexpandierende Stents in eine Koronararterie;140,04
ZE101;Medikamente-freisetzende Koronarstents;ZE101.03;8-83d.24;Andere perkutan-transluminale Gefäßintervention an Herz und Koronargefäßen: Einlegen eines medikamentefreisetzenden selbstexpandierenden Stents: 3 selbstexpandierende Stents in mehrere Koronararterien;140,04
ZE101;Medikamente-freisetzende Koronarstents;ZE101.04;8-837.m5;Perkutan-transluminale Gefäßintervention an Herz und Koronargefäßen: Einlegen eines medikamentefreisetzenden Stents: 4 Stents in eine Koronararterie;186,72 €
ZE101;Medikamente-freisetzende Koronarstents;ZE101.04;8-837.m6;Perkutan-transluminale Gefäßintervention an Herz und Koronargefäßen: Einlegen eines medikamentefreisetzenden Stents: 4 Stents in mehrere Koronararterien;186,72
ZE101;Medikamente-freisetzende Koronarstents;ZE101.04;8-83d.25;Andere perkutan-transluminale Gefäßintervention an Herz und Koronargefäßen: Einlegen eines medikamentefreisetzenden selbstexpandierenden Stents: 4 selbstexpandierende Stents in eine Koronararterie;186,72
ZE101;Medikamente-freisetzende Koronarstents;ZE101.04;8-83d.26;Andere perkutan-transluminale Gefäßintervention an Herz und Koronargefäßen: Einlegen eines medikamentefreisetzenden selbstexpandierenden Stents: 4 selbstexpandierende Stents in mehrere Koronararterien;186,72
ZE101;Medikamente-freisetzende Koronarstents;ZE101.05;8-837.m7;Perkutan-transluminale Gefäßintervention an Herz und Koronargefäßen: Einlegen eines medikamentefreisetzenden Stents: 5 Stents in eine Koronararterie;233,40 €
ZE101;Medikamente-freisetzende Koronarstents;ZE101.05;8-837.m8;Perkutan-transluminale Gefäßintervention an Herz und Koronargefäßen: Einlegen eines medikamentefreisetzenden Stents: 5 Stents in mehrere Koronararterien;233,4
ZE101;Medikamente-freisetzende Koronarstents;ZE101.05;8-83d.27;Andere perkutan-transluminale Gefäßintervention an Herz und Koronargefäßen: Einlegen eines medikamentefreisetzenden selbstexpandierenden Stents: 5 selbstexpandierende Stents in eine Koronararterie;233,4
ZE101;Medikamente-freisetzende Koronarstents;ZE101.05;8-83d.28;Andere perkutan-transluminale Gefäßintervention an Herz und Koronargefäßen: Einlegen eines medikamentefreisetzenden selbstexpandierenden Stents: 5 selbstexpandierende Stents in mehrere Koronararterien;233,4
ZE101;Medikamente-freisetzende Koronarstents;ZE101.06;8-837.m9;Perkutan-transluminale Gefäßintervention an Herz und Koronargefäßen: Einlegen eines medikamentefreisetzenden Stents: Mindestens 6 Stents in eine Koronararterie;280,08 €
ZE101;Medikamente-freisetzende Koronarstents;ZE101.06;8-837.ma;Perkutan-transluminale Gefäßintervention an Herz und Koronargefäßen: Einlegen eines medikamentefreisetzenden Stents: Mindestens 6 Stents in mehrere Koronararterien;280,08
ZE101;Medikamente-freisetzende Koronarstents;ZE101.06;8-83d.29;Andere perkutan-transluminale Gefäßintervention an Herz und Koronargefäßen: Einlegen eines medikamentefreisetzenden selbstexpandierenden Stents: Mindestens 6 selbstexpandierende Stents in eine Koronararterie;280,08
ZE101;Medikamente-freisetzende Koronarstents;ZE101.06;8-83d.2a;Andere perkutan-transluminale Gefäßintervention an Herz und Koronargefäßen: Einlegen eines medikamentefreisetzenden selbstexpandierenden Stents: Mindestens 6 selbstexpandierende Stents in mehrere Koronararterien;280,08
ZE105,;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;;8-836.m0;(Perkutan-)transluminale Gefäßintervention: Selektive Embolisation mit Metallspiralen: Gefäße intrakraniell;
ZE105,;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;;8-836.m1;(Perkutan-)transluminale Gefäßintervention: Selektive Embolisation mit Metallspiralen: Gefäße Kopf extrakraniell und Hals;
ZE105,;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;;8-836.mf;(Perkutan-)transluminale Gefäßintervention: Selektive Embolisation mit Metallspiralen: Gefäße spinal;
ZE105,;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;;8-83b.34;Zusatzinformationen zu Materialien: Art der Metall- oder Mikrospiralen zur selektiven Embolisation: Nicht gecoverter großlumiger Gefäßverschlusskörper [Vascular Plug];
ZE105,;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;;8-83b.35;Zusatzinformationen zu Materialien: Art der Metall- oder Mikrospiralen zur selektiven Embolisation: Großvolumige Metallspiralen [Volumencoils];
ZE105,;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;;8-83b.38;Zusatzinformationen zu Materialien: Art der Metall- oder Mikrospiralen zur selektiven Embolisation: Gecoverter großlumiger Gefäßverschlusskörper [Vascular Plug];
ZE105,;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;ZE105.01;8-836.n1;1 Metallspirale;226,83 €
ZE105,;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;ZE105.02;8-836.n2;2 Metallspiralen;453,66 €
ZE105,;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;ZE105.03;8-836.n3;3 Metallspiralen;680,49 €
ZE105,;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;ZE105.04;8-836.n4;4 Metallspiralen;907,32 €
ZE105,;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;ZE105.05;8-836.n5;5 Metallspiralen;1.134,15 €
ZE105,;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;ZE105.06;8-836.n6;6 Metallspiralen;1.360,98 €
ZE105,;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;ZE105.07;8-836.n7;7 Metallspiralen;1.587,81 €
ZE105,;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;ZE105.08;8-836.n8;8 Metallspiralen;1.814,64 €
ZE105,;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;ZE105.09;8-836.n9;9 Metallspiralen;2.041,47 €
ZE105,;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;ZE105.10;8-836.na;10 Metallspiralen;2.268,30 €
ZE105,;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;ZE105.11;8-836.nb;11 Metallspiralen;2.495,13 €
ZE105,;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;ZE105.12;8-836.nc;12 Metallspiralen;2.721,96 €
ZE105,;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;ZE105.13;8-836.nd;13 Metallspiralen;2.948,79 €
ZE105,;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;ZE105.14;8-836.ne;14 Metallspiralen;3.175,62 €
ZE105,;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;ZE105.15;8-836.nf;15 Metallspiralen;3.402,45 €
ZE105,;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;ZE105.16;8-836.ng;16 Metallspiralen;3.629,28 €
ZE105,;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;ZE105.17;8-836.nh;17 Metallspiralen;3.856,11 €
ZE105,;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;ZE105.18;8-836.nj;18 Metallspiralen;4.082,94 €
ZE105,;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;ZE105.19;8-836.nk;19 Metallspiralen;4.309,77 €
ZE105,;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;ZE105.20;8-836.nm;20 Metallspiralen;4.536,60 €
ZE105,;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;ZE105.21;;Siehe weitere Differenzierung ZE105.22 - ZE105.29;
ZE105,;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;ZE105.22;8-836.np;21 Metallspiralen;4.763,43 €
ZE105,;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;ZE105.23;8-836.nq;22 Metallspiralen;4.990,26 €
ZE105,;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;ZE105.24;8-836.nr;23 Metallspiralen;5.217,09 €
ZE105,;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;ZE105.25;8-836.ns;24 Metallspiralen;5.443,92 €
ZE105,;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;ZE105.26;8-836.nt;25 Metallspiralen;5.670,75 €
ZE105,;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;ZE105.27;8-836.nu;26 Metallspiralen;5.897,58 €
ZE105,;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;ZE105.28;8-836.nv;27 Metallspiralen;6.124,41 €
ZE105,;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;ZE105.29;8-836.nw;28 oder mehr Metallspiralen;6.351,24 €
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;;8-836.m2;(Perkutan-)transluminale Gefäßintervention: Selektive Embolisation mit Metallspiralen: Gefäße Schulter und Oberarm;
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;;8-836.m3;(Perkutan-)transluminale Gefäßintervention: Selektive Embolisation mit Metallspiralen: Gefäße Unterarm;
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;;8-836.m4;(Perkutan-)transluminale Gefäßintervention: Selektive Embolisation mit Metallspiralen: Aorta;
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;;8-836.m5;(Perkutan-)transluminale Gefäßintervention: Selektive Embolisation mit Metallspiralen: Aortenisthmus;
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;;8-836.m6;(Perkutan-)transluminale Gefäßintervention: Selektive Embolisation mit Metallspiralen: Ductus arteriosus apertus;
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;;8-836.m7;(Perkutan-)transluminale Gefäßintervention: Selektive Embolisation mit Metallspiralen: V. cava;
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;;8-836.m8;(Perkutan-)transluminale Gefäßintervention: Selektive Embolisation mit Metallspiralen: Andere Gefäße thorakal;
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;;8-836.ma;(Perkutan-)transluminale Gefäßintervention: Selektive Embolisation mit Metallspiralen: Gefäße viszeral;
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;;8-836.mc;(Perkutan-)transluminale Gefäßintervention: Selektive Embolisation mit Metallspiralen: Gefäße Unterschenkel;
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;;8-836.md;(Perkutan-)transluminale Gefäßintervention: Selektive Embolisation mit Metallspiralen: Gefäßmalformationen;
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;;8-836.me;(Perkutan-)transluminale Gefäßintervention: Selektive Embolisation mit Metallspiralen: Künstliche Gefäße;
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;;8-836.mg;(Perkutan-)transluminale Gefäßintervention: Selektive Embolisation mit Metallspiralen: V. portae;
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;;8-836.mh;(Perkutan-)transluminale Gefäßintervention: Selektive Embolisation mit Metallspiralen: Andere Arterien abdominal und pelvin;
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;;8-836.mj;(Perkutan-)transluminale Gefäßintervention: Selektive Embolisation mit Metallspiralen: Andere Venen abdominal und pelvin;
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;;8-836.mk;(Perkutan-)transluminale Gefäßintervention: Selektive Embolisation mit Metallspiralen: Arterien Oberschenkel;
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;;8-836.mm;(Perkutan-)transluminale Gefäßintervention: Selektive Embolisation mit Metallspiralen: Venen Oberschenkel;
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;;8-836.mx;(Perkutan-)transluminale Gefäßintervention: Selektive Embolisation mit Metallspiralen: Sonstige;
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;;8-838.90;(Perkutan-)transluminale Gefäßintervention an Gefäßen des Lungenkreislaufes: Selektive Embolisation mit Partikeln oder Metallspiralen: Pulmonalarterie;
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;;8-838.91;(Perkutan-)transluminale Gefäßintervention an Gefäßen des Lungenkreislaufes: Selektive Embolisation mit Partikeln oder Metallspiralen: Pulmonalvene;
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;;8-838.92;(Perkutan-)transluminale Gefäßintervention an Gefäßen des Lungenkreislaufes: Selektive Embolisation mit Partikeln oder Metallspiralen: Aortopulmonale Kollateralgefäße (MAPCA);
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;;8-838.93;(Perkutan-)transluminale Gefäßintervention an Gefäßen des Lungenkreislaufes: Selektive Embolisation mit Partikeln oder Metallspiralen: Gefäßmalformationen;
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;;8-838.94;(Perkutan-)transluminale Gefäßintervention an Gefäßen des Lungenkreislaufes: Selektive Embolisation mit Partikeln oder Metallspiralen: Künstliche aortopulmonale Shunts;
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;;8-838.95;(Perkutan-)transluminale Gefäßintervention an Gefäßen des Lungenkreislaufes: Selektive Embolisation mit Partikeln oder Metallspiralen: Künstliche Gefäße;
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;;8-838.9x;(Perkutan-)transluminale Gefäßintervention an Gefäßen des Lungenkreislaufes: Selektive Embolisation mit Partikeln oder Metallspiralen: Sonstige;
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;ZE106.01;8-836.n1;1 Metallspirale;55,84 €
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;ZE106.02;8-836.n2;2 Metallspiralen;111,68 €
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;ZE106.03;8-836.n3;3 Metallspiralen;167,52 €
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;ZE106.04;8-836.n4;4 Metallspiralen;223,36 €
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;ZE106.05;8-836.n5;5 Metallspiralen;279,20 €
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;ZE106.06;8-836.n6;6 Metallspiralen;335,04 €
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;ZE106.07;8-836.n7;7 Metallspiralen;390,88 €
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;ZE106.08;8-836.n8;8 Metallspiralen;446,72 €
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;ZE106.09;8-836.n9;9 Metallspiralen;502,56 €
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;ZE106.10;8-836.na;10 Metallspiralen;558,40 €
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;ZE106.11;8-836.nb;11 Metallspiralen;614,24 €
ZE106,;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;ZE106.12;8-836.nc;12 Metallspiralen;670,08 €
