DRG;Partition;Bezeichnung;Bewertungsrelation bei Hauptabteilung;Bewertungsrelation bei Hauptabteilung und Beleghebamme;Mittlere Verweildauer;Untere Grenzverweildauer;Untere Grenzverweildauer: Bewertungsrelation pro Tag;Obere Grenzverweildauer;Obere Grenzverweildauer: Bewertungsrelation pro Tag;Externe Verlegung Abschlag pro Tag;Verlegungsfallpauschale;Ausnahme von Wiederaufnahme;Pflegeerlös Bewertungsrelation pro Tag
I20F;O;Eingriffe am Fuß ohne komplexe Eingriffe oder komplizierende Faktoren, Alter > 15 Jahre;0,661;;2,8;1;0,168;6;0,065;0,069;;;0,8385
I21Z;O;Lokale Exzision und Entfernung von Osteosynthesematerial an Hüftgelenk, Femur und Wirbelsäule oder komplexe Eingriffe an Ellenbogengelenk und Unterarm oder bestimmte Eingriffe an der Klavikula;0,871;;3,3;1;0,189;8;0,063;0,069;;;0,8212
I22A;O;Gewebe- / Hauttransplantation, außer an der Hand, mit großfläch. Gewebetransplantation, mit komplizierender Konstellation, Eingriff an mehreren Lokalisationen, schwerem Weichteilschaden oder komplexer Gewebetransplantation mit schweren CC;3,883;;24,2;7;0,237;42;0,055;0,075;;;0,8081
I22B;O;Gewebe- / Hauttransplantation, außer an der Hand, mit kleinflächiger Gewebetransplantation od. mit großflächiger Gewebetransplantation ohne kompliz. Konst., oh. Eingr. an mehreren Lokal., oh. schw. Weichteilschaden, oh. kompl. Gewebetranspl. m. schw. CC;2,919;;22,4;6;0,244;40;0,053;0,073;;;0,8231
I23A;O;Andere kleine Eingriffe an Knochen und Weichteilen mit bestimmten kleinen Eingriffen am Knochen oder Alter < 18 Jahre mit äußerst schweren oder schweren CC;0,822;;4,0;1;0,261;9;0,062;0,070;;;0,8904
I23B;O;Andere kleine Eingriffe an Knochen und Weichteilen mit bestimmten kleinen Eigriffen an Knochen und Weichteilen, Alter > 17 Jahre oder ohne äußerst schwere oder schwere CC;0,706;;2,7;1;0,166;6;0,064;0,066;;;0,9038
I23C;O;Andere kleine Eingriffe an Knochen und Weichteilen ohne bestimmte kleine Eingriffe an Knochen und Weichteilen, Alter > 17 Jahre oder ohne äußerst schwere oder schwere CC;0,579;;2,4;1;0,127;5;0,066;0,067;;;0,9441
I24A;O;Arthroskopie oder andere Eingriffe an den Extremitäten oder Eingriffe am Weichteilgewebe mit komplexem Eingriff oder Alter < 16 Jahre;0,677;;2,9;1;0,179;7;0,068;0,072;;;1,0251
I24B;O;Arthroskopie oder andere Eingriffe an den Extremitäten oder Eingriffe am Weichteilgewebe ohne komplexen Eingriff, Alter > 15 Jahre;0,560;;2,4;1;0,109;5;0,066;0,067;;;1,0125
I26Z;O;Intensivmedizinische Komplexbehandlung > 588 / 552 / 552 Aufwandspunkte bei Krankheiten und Störungen an Muskel-Skelett-System und Bindegewebe oder hochaufwendiges Implantat bei hochkomplexer Gewebe- / Hauttransplantation;7,978;;29,2;9;0,616;47;0,211;;x;x;2,4870
I27A;O;Eingriffe am Weichteilgew. od. kleinfl. Gewebe-Tx m. best. Diagn. u. best. Eingr. od. m. äuß. schw. CC od. b. BNB m. schw. CC, m. best. Diagn. u. kompl. Eingr. od. Nephrekt. od. best. BNB m. best. Eingr. Abdomen od. Thorax od. Tx e. Zehe als Fingerersatz;3,486;;13,6;4;0,330;28;0,121;0,113;;;1,1541
I27B;O;Eingriffe am Weichteilgewebe oder kleinflächige Gewebe-Tx mit äußerst schweren CC oder bei BNB mit schweren CC oder mit kompliz. Faktoren, mit schweren CC oder bei BNB oder mit best. Eingr. am Weichteilgewebe, > 1 Belegungstag oder best. Eingriff;2,873;;16,6;5;0,276;33;0,070;0,094;;;0,9894
I27C;O;Eingriffe am Weichteilgewebe oder kleinflächige Gewebetransplantationen mit schweren CC oder bei BNB oder mit bestimmtem Eingriff am Weichteilgewebe, mehr als ein Belegungstag oder bestimmter Eingriff ohne komplizierende Faktoren;1,280;;7,5;2;0,226;18;0,063;0,080;;;0,8289
I27D;O;Bestimmte andere Eingriffe am Weichteilgewebe oder ein Belegungstag;0,993;;4,4;1;0,352;10;0,063;0,073;;;0,7553
I27E;O;Bestimmte kleine Eingriffe am Weichteilgewebe oder ein Belegungstag;0,743;;3,5;1;0,204;8;0,063;0,069;;;0,8178
I28A;O;Andere Eingriffe am Bindegewebe mit bestimmter offen chirurgischer Stabilisierung der Thoraxwand oder bestimmtem Eingriff am Zwerchfell oder Alter < 18 Jahre bei bösartiger Neubildung;2,066;;7,9;2;0,314;17;0,118;0,105;;;1,3314
I28B;O;Andere Eingriffe am Bindegewebe mit komplexem Eingriff an Thorax und Abdomen oder Implantation/Wechsel best. Medikamentenpumpen oder Eingriff bei bösartiger Neubildung an Knochen und Gelenken, > 1 BT;1,670;;9,1;2;0,295;21;0,068;0,087;;;0,8194
I28C;O;Andere Eingriffe am Bindegewebe mit bestimmtem Eingriff an Knochen, Weichteilen oder Bindegewebe, mehr als 1 Belegungstag oder Alter < 10 Jahre;1,433;;10,9;3;0,246;24;0,063;0,083;;;0,8054
I28D;O;Andere Eingriffe am Bindegewebe mit mäßig komplexem Eingriff am Bindegewebe, mehr als ein Belegungstag, Alter > 9 Jahre;1,094;;8,3;2;0,261;17;0,066;0,084;;;0,6377
I28E;O;Andere Eingriffe am Bindegewebe, ohne bestimmte, mäßig komplexe und komplexe Eingriffe am Bindegewebe, Alter > 9 Jahre oder 1 BT;0,828;;4,6;1;0,279;12;0,061;0,071;;;0,8243
I29A;O;Komplexe Eingriffe am Schultergelenk oder bestimmte Osteosynthesen an der Klavikula, bei komplizierender Diagnose oder Eingriff an mehreren Lokalisationen;1,287;;4,3;1;0,409;10;0,061;0,071;;;0,7918
I29B;O;Komplexe Eingriffe am Schultergelenk oder best. Osteosynthesen an der Klavikula ohne kompliz. Diagnose, ohne Eingriff an mehreren Lokalisationen oder sonst. arthroskopische Rekonstruktion der Rotatorenmanschette mit bestimmten Eingriffen an der Schulter;1,023;;3,0;1;0,184;6;0,066;0,071;;;0,8501
I29C;O;Sonstige arthroskopische Rekonstruktion der Rotatorenmanschette ohne bestimmte Eingriffe an der Schulter;0,840;;2,7;1;0,206;5;0,066;0,069;;;0,8668
I30A;O;Arthroskopischer Eingriff am Hüftgelenk, Alter < 16 Jahre oder komplexe Eingriffe am Kniegelenk mit sehr komplexem Eingriff oder bestimmte komplexe Eingriffe am Kniegelenk, Alter < 18 Jahre, mit äußerst schweren oder schweren CC;1,295;;4,1;1;0,186;10;0,063;0,072;;;0,7281
I30B;O;Arthroskopischer Eingriff am Hüftgelenk, Alter > 15 Jahre oder bestimmte komplexe Eingriffe am Kniegelenk, Alter > 17 Jahre oder ohne äußerst schwere oder schwere CC;0,948;;3,0;1;0,191;6;0,067;0,071;;;0,8218
I30C;O;Komplexe Eingriffe am Kniegelenk ohne bestimmte komplexe Eingriffe am Kniegelenk, Alter > 17 Jahre oder ohne äußerst schwere oder schwere CC;0,742;;3,0;1;0,198;6;0,069;0,073;;;0,8049
I31A;O;Mehrere komplexe Eingriffe an Ellenbogengelenk und Unterarm oder gelenkübergreifende Weichteildistraktion bei angeborenen Anomalien der Hand, mit aufwendigen Eingriffen am Unterarm;2,162;;9,2;2;0,253;18;0,058;0,075;;;0,7307
I31B;O;Mehrere komplexe Eingriffe an Ellenbogengelenk und Unterarm oder gelenkübergreifende Weichteildistraktion bei angeborenen Anomalien der Hand oder bestimmte Eingriffe bei Mehrfragmentfraktur der Patella, mit bestimmten komplexen Eingriffen am Unterarm;1,435;;6,0;1;0,464;14;0,058;0,071;;;0,7679
I31C;O;Mehrere komplexe Eingriffe an Ellenbogengelenk und Unterarm ohne gelenkübergreifende Weichteildistraktion bei angeborenen Anomalien der Hand, ohne bestimmte Eingriffe bei Mehrfragmentfraktur der Patella, ohne bestimmte komplexe Eingriffe am Unterarm;1,136;;3,8;1;0,284;9;0,063;0,072;;;0,7820
I32A;O;Eingr. an Handgelenk u. Hand mit mehrzeitigem kompl. od. mäßig kompl. Eingr. od. mit Komplexbehandl. Hand od. mit aufwendigem rekonstruktivem Eingr. bei angeborener Fehlbildung der Hand oder mit best. gefäßgestielten Knochentx. bei Pseudarthrose der Hand;1,806;;9,8;2;0,242;21;0,137;0,067;;;0,7337
I32B;O;Eingr. an Handgel. und Hand ohne mehrz. Eingr., oh. Komplexb. Hand, ohne aufw. rekonstr. Eingr., mit kompl. Eingr. od. bei angeb. Anomalie d. Hand od. Pseudarthr., Alter < 6 J. od. mit kompl. Eingr. bei angeb. Fehlb. d. Hand, Alter < 16 J.;1,048;;3,9;1;0,508;7;0,106;0,085;;;1,2320
I32C;O;Eingr. an Handgel. und Hand oh. mehrz. Eingr., oh. Komplexb. Hand, mit kompl. Eingr. od. bei angeb. Anomalie d. Hand od. Pseudarthr., Alter > 5 J. od. mit hochkompl. Eingr. bei angeb. Fehlb. d. Hand, Alter < 16 J. oder mit best. Eingr. od. kompl. Diagn.;1,438;;6,0;1;0,227;15;0,053;0,065;;;0,7715
I32D;O;Eingriffe an Handgelenk und Hand mit komplexem Eingriff, ohne komplexe Diagnose oder ohne sehr komplexen Eingriff oder mit komplexer Diagnose oder mit bestimmtem oder beidseitigem Eingriff;0,973;;3,2;1;0,258;8;0,064;0,070;;;0,7860
I32E;O;Bestimmte mäßig komplexe Eingriffe an Handgelenk und Hand, mehr als ein Belegungstag oder Mehrfacheingriff an 3 Strahlen oder Alter < 6 Jahre;0,759;;2,9;1;0,191;6;0,064;0,068;;;0,7777
I32F;O;Eingriffe an Handgelenk und Hand ohne komplexe oder mäßig komplexe Eingriffe oder ohne bestimmtem mäßig komplexen Eingriff, Alter > 5 Jahre, ein Belegungstag;0,619;;2,6;1;0,078;5;0,066;0,068;;;0,9445
I33Z;O;Rekonstruktion von Extremitätenfehlbildungen;1,608;;6,0;1;0,281;13;0,066;0,080;;;0,9205
I34Z;O;Geriatrische frührehabilitative Komplexbehandlung mit bestimmter OR-Prozedur bei Krankheiten und Störungen an Muskel-Skelett-System und Bindegewebe;2,647;;24,0;7;0,222;36;0,052;0,071;;;0,8303
I36Z;O;Beidseitige oder kombinierte Implantation oder Wechsel einer Endoprothese an Hüft-, Kniegelenk und/oder an der oberen Extremität;2,665;;10,6;3;0,213;19;0,056;0,073;;;0,8159
I37Z;O;Resezierender Eingriff am Becken bei bösartiger Neubildung des Beckens oder Mehretageneingriffe an der unteren Extremität;3,643;;14,6;4;0,322;28;0,221;0,103;;;1,3460
I39Z;O;Strahlentherapie bei Krankheiten und Störungen an Muskel-Skelett-System und Bindegewebe, Bestrahlungen an mindestens 8 Tagen;2,560;;19,6;6;0,353;35;0,126;;x;x;0,7981
I41Z;A;Geriatrische frührehabilitative Komplexbehandlung bei Krankheiten und Störungen an Muskel-Skelett-System und Bindegewebe;1,395;;19,8;6;0,195;29;0,048;0,066;;;0,7287
I42A;A;Multimodale Schmerztherapie bei Krankheiten und Störungen an Muskel-Skelett-System und Bindegewebe, mind. 14 Tage;1,233;;16,3;;;20;0,057;0,070;;x;0,4239
I42B;A;Multimodale Schmerztherapie bei Krankheiten und Störungen an Muskel-Skelett-System und Bindegewebe, weniger als 14 Tage;0,879;;9,9;;;16;0,057;0,079;;x;0,4638
I43A;O;Implantation oder Wechsel bestimmter Endoprothesen am Knie- oder am Ellenbogengelenk oder Prothesenwechsel am Schulter- oder am Sprunggelenk oder Entfernung bestimmter Endoprothesen am Kniegelenk, mit äußerst schweren CC;5,194;;28,5;8;0,270;46;0,060;0,082;;;0,9733
I43B;O;Implantation oder Wechsel bestimmter Endoprothesen am Knie- oder am Ellenbogengelenk oder Prothesenwechsel am Schulter- oder am Sprunggelenk oder Entfernung bestimmter Endoprothesen am Kniegelenk, ohne äußerst schwere CC;2,710;;10,8;3;0,214;20;0,055;0,072;;;0,7431
I44A;O;Bestimmte Endoprotheseneingriffe am Kniegelenk mit äußerst schweren CC oder Korrektur einer Brustkorbdeformität;2,575;;14,1;4;0,271;28;0,067;0,090;;;1,0198
I44B;O;Bestimmte Endoprotheseneingriffe am Kniegelenk ohne äußerst schwere CC, mit bestimmtem Wechsel von Endoprothesen oder Implantation einer patientenindividuell angefertigten Endoprothese am Kniegelenk ohne Defekt oder Deformität der Knochen;2,272;;12,1;3;0,240;23;0,055;0,073;;;0,7614
I44C;O;Bestimmte Endoprotheseneingriffe am Kniegelenk ohne äußerst schwere CC, ohne bestimmten Wechsel von Endoprothesen oder Prothesenkomponenten, ohne Implantation einer patientenindividuell angefertigten Endoprothese am Kniegelenk;1,780;;8,6;2;0,233;14;0,057;0,073;;;0,7347
I44D;O;Bestimmte Endoprotheseneingriffe am Kniegelenk oder Einbringen einer Entlastungsfeder am Kniegelenk;1,599;;7,0;1;0,299;11;0,060;0,075;;;0,7202
I44E;O;Andere Endoprotheseneingriffe am Kniegelenk;1,367;;8,3;2;0,230;15;0,058;0,074;;;0,7004
I45A;O;Implantation und Ersatz einer Bandscheibenendoprothese, mehr als ein Segment;2,434;;4,6;1;0,211;10;0,064;0,075;;;0,7878
I45B;O;Implantation und Ersatz einer Bandscheibenendoprothese, weniger als 2 Segmente;1,738;;4,4;1;0,203;9;0,064;0,075;;;0,7514
I46A;O;Prothesenwechsel am Hüftgelenk mit äußerst schweren CC oder Eingriff an mehreren Lokalisationen;4,476;;24,1;7;0,303;42;0,071;0,097;;;1,1423
I46B;O;Prothesenwechsel am Hüftgelenk ohne äußerst schwere CC, ohne Eingriff an mehreren Lokalisationen, mit periprothetischer Fraktur;3,235;;17,2;5;0,257;31;0,063;0,085;;;1,0059
I46C;O;Prothesenwechsel am Hüftgelenk ohne äußerst schwere CC, ohne Eingriff an mehreren Lokalisationen, ohne periprothetische Fraktur;2,512;;11,9;3;0,249;23;0,059;0,077;;;0,8320
I47A;O;Revision oder Ersatz des Hüftgelenkes ohne komplizierende Diagnose, ohne Arthrodese, ohne äußerst schwere CC, Alter > 15 Jahre, mit komplizierendem Eingriff;2,261;;11,7;3;0,239;22;0,057;0,075;;;0,8169
I47B;O;Revision oder Ersatz des Hüftgelenkes ohne best. kompliz. Faktoren, mit kompl. Diagnose an Becken/Oberschenkel, mit best. endoproth. oder gelenkplast. Eingr. od. m. Impl. od. Wechsel Radiuskopfproth. od. m. kompl. Erstimpl. od. m. Entf. Osteosynthesemat.;1,862;;10,6;3;0,223;19;0,059;0,077;;;0,9021
I47C;O;Revision oder Ersatz des Hüftgelenkes ohne best. kompliz. Faktoren, ohne komplexe Diagnose an Becken/OS, ohne best. endoproth. Eingriff, ohne gelenkpl. Eingriff am Hüftgelenk, ohne Impl. oder Wechsel einer Radiuskopfprothese, ohne Entf. Osteosynthesemat.;1,533;;8,3;2;0,217;14;0,055;0,070;;;0,7458
I50A;O;Gewebe- / Haut-Transplantation außer an der Hand, ohne bestimmte komplizierende Faktoren, mit bestimmtem Eingriff oder bestimmter Vakuumbehandlung mit kontinuierlicher Sogbehandlung ab 8 Tagen;2,539;;17,8;5;0,218;34;0,051;0,069;;;0,6853
I50B;O;Gewebe- / Haut-Transplantation außer an der Hand, ohne bestimmte komplizierende Faktoren, ohne bestimmten Eingriff, mit bestimmter Vakuumbehandlung oder Alter < 16 Jahre;1,532;;11,0;3;0,196;22;0,050;0,065;;;0,6996
I50C;O;Gewebe- / Haut-Transplantation außer an der Hand, ohne bestimmte komplizierende Faktoren, ohne bestimmten Eingriff, ohne bestimmte Vakuumbehandlung, Alter > 15 Jahre;0,818;;4,7;1;0,204;11;0,061;0,072;;;0,7303
I54A;O;Strahlentherapie bei Krankheiten und Störungen an Muskel-Skelett-System und Bindegewebe, bei bösartiger Neubildung, Bestrahlungen an mindestens 5 Tagen oder Alter < 18 Jahre;1,182;;8,5;2;0,385;19;0,095;0,122;;x;0,8569
I54B;O;Strahlentherapie bei Krankheiten und Störungen an Muskel-Skelett-System und Bindegewebe, bei bösartiger Neubildung, Bestrahlungen an weniger als 5 Tagen, Alter > 17 Jahre;0,819;;5,7;1;0,400;15;0,140;0,119;;x;0,8504
I59Z;O;Andere Eingriffe an den Extremitäten oder am Gesichtsschädel;0,709;;2,7;1;0,153;6;0,071;0,074;;;1,0230
I64A;M;Osteomyelitis, Alter < 16 Jahre;1,259;;10,5;3;0,303;23;0,115;0,105;;;1,1987
I64B;M;Osteomyelitis, Alter > 15 Jahre, mit äußerst schweren oder schweren CC;1,179;;11,8;3;0,279;25;0,066;0,087;;;0,9439
I64C;M;Osteomyelitis, Alter > 15 Jahre, ohne äußerst schwere oder schwere CC;0,584;;6,7;1;0,383;15;0,059;0,073;;;0,6950
I65A;M;Bösartige Neubildung des Bindegewebes einschließlich pathologischer Fraktur, Alter < 17 Jahre oder mit äußerst schweren CC, mit hochkomplexer Chemotherapie oder Alter < 16 Jahre mit äußerst schweren oder schweren CC;1,030;;6,2;1;0,500;14;0,174;0,138;;x;1,8042
I65B;M;Bösartige Neubildung des Bindegewebes einschließlich pathologischer Fraktur, Alter < 17 Jahre oder mit äußerst schweren CC, ohne hochkomplexe Chemotherapie, Alter > 15 Jahre oder ohne äußerst schwere oder schwere CC;0,832;;5,8;1;0,477;15;0,138;0,118;;x;1,3038
I65C;M;Bösartige Neubildung des Bindegewebes einschließlich pathologischer Fraktur, Alter > 16 Jahre, ohne äußerst schwere CC;0,609;;5,2;1;0,336;12;0,078;0,094;;x;0,7985
I66A;M;Andere Erkrankungen des Bindegewebes oder Frakturen an Becken und Schenkelhals, mehr als ein Belegungstag, mit komplizierender Konstellation oder intensivmedizinischer Komplexbehandlung > 392 / 368 / 368 Aufwandspunkte;3,090;;21,8;6;0,424;40;0,096;0,130;;;1,1595
I66B;M;Andere Erkrankungen des Bindegewebes, mehr als ein Belegungstag, mit äußerst schweren CC oder intensivmedizinischer Komplexbehandlung > 196 / 184 / - Aufwandspunkte oder anderen komplizierenden Konstellationen;1,910;;17,6;5;0,301;34;0,072;0,097;;;0,8748
I66C;M;Frakturen Becken und Schenkelhals, > 1 Bel.-Tag, mit äußerst schweren CC oder int.-med. Komplexbeh. > 196 / 184 / - AP oder Alter < 1 J. mit kinder-und jugendrheumatol. Kompl.-beh. 7 bis 13 Beh.-Tage oder mit best. syst. rheumatologischen Erkrankungen;1,436;;14,8;4;0,279;29;0,066;0,089;;;1,1193
I66D;M;Andere Erkrankungen des Bindegewebes, > 1 Bel.-Tag, Alter > 0 Jahre, mit kinder-und jugendrheumatologischer Komplexbehandlung 7 bis 13 Behandlungstage oder Alter < 16 Jahre mit bestimmten Vaskulitiden oder systemischen rheumatologischen Erkrankungen;0,875;;8,7;2;0,283;15;0,069;0,088;;;0,9582
I66E;M;Andere Erkrankungen des Bindegewebes oder Amyloidose oder Arthropathie, Alter > 15 Jahre, mehr als ein Belegungstag;0,723;;7,4;1;0,349;16;0,066;0,083;;;0,5930
I66F;M;Frakturen an Becken und Schenkelhals, mehr als ein Belegungstag, ohne äußerst schwere CC, ohne intensivmedizinische Komplexbehandlung > 196 / 184 / - Aufwandspunkte;0,602;;7,5;1;0,296;15;0,055;0,070;;;0,8110
I66G;M;Andere Erk. des Bindegewebes, mehr als ein Belegungstag, oh. Amyloidose, oh. best. Vaskulitiden, oh. best. syst. rheumat. Erk., oh. äußerst schwere CC, ohne intensivmed. Komplexbeh. > 196 / 184 / - Aufwandsp., oh. kinder-und jugendrheumat. Komplexbeh.;0,543;;5,8;1;0,262;13;0,063;0,077;;;0,6012
I66H;M;Andere Erkrankungen des Bindegewebes oder Frakturen an Becken und Schenkelhals, ein Belegungstag, ohne bestimmte Biopsie am Herzen;0,180;;1,0;;;;;;;;1,0956
I68A;M;Nicht operativ behandelte Erkrankungen und Verletzungen im Wirbelsäulenbereich, mehr als ein Belegungstag, mit äußerst schweren oder schweren CC oder bei Para- / Tetraplegie, bei Diszitis oder infektiöser Spondylopathie;2,293;;23,5;7;0,277;42;0,066;0,090;;;0,9972
I68B;M;Nicht operativ behandelte Erkrankungen und Verletzungen im Wirbelsäulenbereich, mehr als 1 BT, mit äuß. schw. oder schw. CC od. bei Para- / Tetraplegie, mit kompl. Diagn. oder ohne äuß. schw. oder schw. CC, ohne Para- / Tetraplegie bei Diszitis;1,240;;13,6;4;0,241;27;0,062;0,083;;;0,8987
I68C;M;Nicht operativ behandelte Erkrankungen und Verletzungen WS, > 1 BT od. and. Femurfraktur, bei Para- / Tetraplegie od. mit äuß. schw. CC od. schw. CC od, Alter > 65 J., oh. kompl. Diagn. od. Kreuzbeinfraktur od. best. mäßig aufw., aufw. od. hochaufw. Beh.;0,799;;8,8;2;0,259;19;0,062;0,079;;;0,8239
I68D;M;Nicht operativ behandelte Erkrankungen und Verletzungen WS, mehr als ein Belegungstag oder andere Femurfraktur, außer bei Diszitis oder infektiöser Spondylopathie, ohne Kreuzbeinfraktur, ohne best. mäßig aufw., aufw. od. hochaufw. Beh.;0,444;;4,2;1;0,238;10;0,069;0,079;;;0,6674
I68E;M;Nicht operativ behandelte Erkrankungen und Verletzungen im Wirbelsäulenbereich, ein Belegungstag oder Prellung am Oberschenkel;0,200;;1,0;;;;;;;;1,0343
I69A;M;Knochenkrankheiten und spez. Arthropathie mit bestimmter Arthropathie oder Muskel- / Sehnenerkrankung bei Para- /Tetraplegie;0,578;;6,9;1;0,393;15;0,057;0,072;;;0,6005
I69B;M;Knochenkrankheiten und spez. Arthropathie ohne bestimmte Arthropathie, ohne Muskel- / Sehnenerkrankung bei Para- /Tetraplegie;0,497;;5,7;1;0,321;13;0,058;0,071;;;0,6409
I71A;M;Muskel- und Sehnenerkrankungen außer bei Para- / Tetraplegie oder Verstauchung, Zerrung, Luxation an Hüftgelenk, Becken und Oberschenkel, mit Zerebralparese oder Kontraktur;0,543;;4,3;1;0,224;11;0,073;0,085;;;0,9695
I71B;M;Muskel- und Sehnenerkrankungen außer bei Para- / Tetraplegie oder Verstauchung, Zerrung, Luxation an Hüftgelenk, Becken und Oberschenkel, ohne Zerebralparese, ohne Kontraktur;0,435;;4,3;1;0,239;10;0,067;0,077;;;0,7284
I72Z;M;Entzündung von Sehnen, Muskeln und Schleimbeuteln mit äußerst schweren oder schweren CC oder Frakturen am Femurschaft;0,939;;9,8;2;0,297;22;0,064;0,083;;;0,9696
I73Z;M;Nachbehandlung bei Erkrankungen des Bindegewebes;0,579;;6,6;1;0,357;15;0,058;0,072;;;0,8026
I74A;M;Verletzungen an Unterarm, Handgelenk, Hand oder Fuß oder leichte bis moderate Verletzungen von Schulter, Arm, Ellenbogen, Knie, Bein und Sprunggelenk mit äußerst schweren oder schweren CC oder unspezifische Arthropathien;0,532;;5,8;1;0,339;13;0,062;0,076;;;0,6652
I74B;M;Verletzungen an Unterarm, Handgelenk, Hand oder Fuß oder leichte bis moderate Verletzungen von Schulter, Arm, Ellenbogen, Knie, Bein und Sprunggelenk ohne äußerst schwere oder schwere CC, Alter < 10 Jahre;0,445;;2,3;1;0,113;4;0,086;0,085;;;1,3713
I74C;M;Verletzungen an Unterarm, Handgelenk, Hand oder Fuß oder leichte bis moderate Verletzungen von Schulter, Arm, Ellenbogen, Knie, Bein und Sprunggelenk ohne äußerst schwere oder schwere CC, Alter > 9 Jahre;0,380;;3,4;1;0,159;8;0,073;0,081;;;0,8278
I75A;M;Schwere Verletzungen von Schulter, Arm, Ellenbogen, Knie, Bein und Sprunggelenk mit CC;0,931;;10,1;2;0,302;21;0,063;0,081;;;1,0407
I75B;M;Schwere Verletzungen von Schulter, Arm, Ellenbogen, Knie, Bein und Sprunggelenk ohne CC oder Entzündungen von Sehnen, Muskeln und Schleimbeuteln ohne äußerst schwere oder schwere CC;0,459;;4,8;1;0,260;11;0,065;0,077;;;0,7664
I76A;M;Andere Erkrankungen des Bindegewebes mit komplizierender Diagnose oder äußerst schweren CC oder septische Arthritis mit äußerst schweren CC oder Alter < 16 Jahre;1,083;;13,3;3;0,256;28;0,054;0,072;;;0,6926
I76B;M;Andere Erkrankungen des Bindegewebes ohne komplizierende Diagnose, ohne äußerst schwere CC oder septische Arthritis ohne äußerst schwere CC, Alter > 15 Jahre;0,500;;4,6;1;0,248;11;0,067;0,079;;;0,8428
I77Z;M;Mäßig schwere Verletzungen von Schulter, Arm, Ellenbogen, Knie, Bein und Sprunggelenk;0,425;;4,3;1;0,230;10;0,067;0,077;;;0,8033
I79Z;M;Fibromyalgie;0,689;;8,9;2;0,225;16;0,053;0,068;;;0,4465
I87Z;M;Komplexbehandlung bei isolationspflichtigen Erregern bei Krankheiten und Störungen an Muskel-Skelett-System und Bindegewebe;1,312;;14,5;;;29;0,062;0,083;;;0,9174
I95A;O;Implantation einer Tumorendoprothese mit Implantation oder Wechsel einer bestimmten Endoprothese oder Knochentotalersatz am Femur oder Alter < 18 Jahre;4,906;;17,1;5;0,295;33;0,183;0,097;;;1,0958
I95B;O;Implantation einer Tumorendoprothese ohne Implantation oder Wechsel einer bestimmten Endoprothese, ohne Knochentotalersatz am Femur, Alter > 17 Jahre;3,260;;11,6;3;0,265;24;0,151;0,084;;;0,8605
I97Z;A;Rheumatologische Komplexbehandlung bei Krankheiten und Störungen an Muskel-Skelett-System und Bindegewebe;1,172;;15,4;4;0,231;18;0,075;0,071;;;0,4511
I98Z;O;Komplexe Vakuumbehandlung bei Krankheiten und Störungen an Muskel-Skelett-System und Bindegewebe;5,656;;36,2;11;0,240;54;0,080;0,077;;;0,8791
MDC 09 Krankheiten und Störungen an Haut, Unterhaut und Mamma;;;;;;;;;;;;;
J01Z;O;Gewebetransplantation mit mikrovaskulärer Anastomosierung bei bösartiger Neubildung an Haut, Unterhaut und Mamma;3,416;;8,8;2;0,288;15;0,069;0,088;;;0,8818
J02A;O;Hauttransplantation oder bestimmte Lappenplastik an der unteren Extremität bei Ulkus oder Infektion oder ausgedehnte Lymphadenektomie oder Gewebetransplantation mit mikrovaskulärer Anastomose, mit äußerst schweren CC, mit komplexem Eingriff;4,473;;28,7;9;0,242;47;0,059;0,081;;;1,0335
J02B;O;Hauttransplantation oder bestimmte Lappenplastik an der unteren Extr. bei Ulkus od. Infektion od. ausgedehnte Lymphadenekt. oder Gewebetransplant. mit mikrovask. Anastomose, mit äuß. schw. CC, oh. kompl. Eingr. od. oh. äuß. schw. CC, m. kompl. Eingr.;3,166;;21,6;6;0,252;40;0,057;0,078;;;1,0231
J02C;O;Hauttransplantation oder bestimmte Lappenplastik an der unteren Extremität bei Ulkus oder Infektion oder ausgedehnte Lymphadenektomie, ohne äußerst schwere CC, ohne komplexen Eingriff;1,710;;16,0;4;0,222;31;0,049;0,065;;;0,8495
J03Z;O;Eingriffe an der Haut der unteren Extremität bei Ulkus oder Infektion / Entzündung;0,893;;9,1;2;0,219;19;0,051;0,065;;;0,7939
J04Z;O;Eingriffe an der Haut der unteren Extremität außer bei Ulkus oder Infektion / Entzündung;0,569;;3,6;1;0,197;9;0,067;0,075;;;0,6956
J06Z;O;Mastektomie mit Prothesenimplantation und plastischer Operation bei bösartiger Neubildung oder komplexe Prothesenimplantation;1,754;;6,4;1;0,359;12;0,078;0,097;;;0,7378
J07A;O;Kleine Eingr. an der Mamma m. best. Lymphkn.-Exz. od. äuß. schw. od. schw. CC b. BNB od. große Eingr. an der Mamma b. BNB oh. kompl. od. best. Eingr. an weibl. Geschl.-Org. b. BNB mit beids. Eingr. od. best. Eingr. Ovar/Plexus brachialis od. an Lymphgef.;1,450;;4,6;1;0,358;9;0,108;0,127;;;0,7661
J07B;O;Kleine Eingriffe an der Mamma mit bestimmter Lymphknotenexzision oder äußerst schweren oder schweren CC bei BNB, ohne beidseitigen Eingriff, ohne Eingriff an Ovar od. Plexus brachialis, ohne Eingriff an Lymphgefäßen;1,095;;3,8;1;0,287;8;0,109;0,124;;;0,7886
