ZE;Bezeichnung;OPS-Kode;OPS-Text
ZE2021-171;Gabe von Clofarabin, parenteral;6-003.j*;Applikation von Medikamenten, Liste 3: Clofarabin, parenteral
ZE2021-172;Gabe von Posaconazol, oral, Suspension;6-007.0*;Applikation von Medikamenten, Liste 7: Posaconazol, oral, Suspension
ZE2021-173;Gabe von Posaconazol, oral, Tabletten;6-007.p*;Applikation von Medikamenten, Liste 7: Posaconazol, oral, Tabletten
ZE2021-174,;Gabe von Liposomalem Cytarabin, intrathekal;6-002.a*;Applikation von Medikamenten, Liste 2: Liposomales Cytarabin, intrathekal
ZE2021-175,;Gabe von Filgrastim, parenteral;6-002.1*;Applikation von Medikamenten, Liste 2: Filgrastim, parenteral
ZE2021-176,;Gabe von Lenograstim, parenteral;6-002.2*;Applikation von Medikamenten, Liste 2: Lenograstim, parenteral
ZE2021-177,;Gabe von Pegfilgrastim, parenteral;6-002.7*;Applikation von Medikamenten, Liste 2: Pegfilgrastim, parenteral
ZE2021-178,;Gabe von Lipegfilgrastim, parenteral;6-007.7*;Applikation von Medikamenten, Liste 7: Lipegfilgrastim, parenteral
ZE2021-179,;Gabe von Ofatumumab, parenteral;6-006.4*;Applikation von Medikamenten, Liste 6: Ofatumumab, parenteral
ZE2021-180;Gabe von Azacytidin, parenteral;6-005.0*;Applikation von Medikamenten, Liste 5: Azacytidin, parenteral
ZE2021-181;Gabe von Ustekinumab, parenteral;6-005.j*;Applikation von Medikamenten, Liste 5: Ustekinumab, parenteral
ZE2021-182;Gabe von Vedolizumab, parenteral;6-008.5*;Applikation von Medikamenten, Liste 8: Vedolizumab, parenteral
ZE2021-183;Gabe von Elotuzumab, parenteral;6-009.d*;Applikation von Medikamenten, Liste 9: Elotuzumab, parenteral
ZE2021-184;Gabe von Atezolizumab, parenteral;6-00a.1*;Applikation von Medikamenten, Liste 10: Atezolizumab, parenteral
ZE2021-185;Gabe von Ocrelizumab, parenteral;6-00a.e*;Applikation von Medikamenten, Liste 10: Ocrelizumab, parenteral
ZE2021-186;Gabe von Venetoclax, oral;6-00a.k*;Applikation von Medikamenten, Liste 10: Venetoclax, oral
ZE2021-187;Neurostimulatoren zur Hypoglossusnerv-Stimulation;5-059.c7;Andere Operationen an Nerven und Ganglien: Implantation oder Wechsel eines Neurostimulators zur Stimulation des peripheren Nervensystems mit Implantation oder Wechsel einer Neurostimulationselektrode: System zur Hypoglossusnerv-Stimulation
ZE2021-187;Neurostimulatoren zur Hypoglossusnerv-Stimulation;5-059.d7;Andere Operationen an Nerven und Ganglien: Wechsel eines Neurostimulators zur Stimulation des peripheren Nervensystems ohne Wechsel einer Neurostimulationselektrode: System zur Hypoglossusnerv-Stimulation
ZE2021-188,;Patientenindividuell hergestellte Stent-Prothesen an der Aorta, ohne Öffnung;5-38a.70;Endovaskuläre Implantation von Stent-Prothesen: Aorta thoracica: Stent-Prothese, ohne Öffnung
ZE2021-188,;Patientenindividuell hergestellte Stent-Prothesen an der Aorta, ohne Öffnung;5-38a.80;Endovaskuläre Implantation von Stent-Prothesen: Aorta thoracoabdominalis: Stent-Prothese, ohne Öffnung
ZE2021-188,;Patientenindividuell hergestellte Stent-Prothesen an der Aorta, ohne Öffnung;5-38a.c0;Endovaskuläre Implantation von Stent-Prothesen: Aorta abdominalis: Stent-Prothese, ohne Öffnung
ZE2021-188,;Patientenindividuell hergestellte Stent-Prothesen an der Aorta, ohne Öffnung;5-38a.w;Endovaskuläre Implantation von Stent-Prothesen: Patientenindividuell hergestellte Stent-Prothesen
ZE2021-189;Stent-Prothesen an der Aorta, mit Öffnung;5-38a.7b;Endovaskuläre Implantation von Stent-Prothesen: Aorta thoracica: Stent-Prothese, mit 1 Öffnung
ZE2021-189;Stent-Prothesen an der Aorta, mit Öffnung;5-38a.7c;Endovaskuläre Implantation von Stent-Prothesen: Aorta thoracica: Stent-Prothese, mit 2 Öffnungen
ZE2021-189;Stent-Prothesen an der Aorta, mit Öffnung;5-38a.7d;Endovaskuläre Implantation von Stent-Prothesen: Aorta thoracica: Stent-Prothese, mit 3 oder mehr Öffnungen
ZE2021-189;Stent-Prothesen an der Aorta, mit Öffnung;5-38a.8c;Endovaskuläre Implantation von Stent-Prothesen: Aorta thoracoabdominalis: Stent-Prothese, mit 1 Öffnung
ZE2021-189;Stent-Prothesen an der Aorta, mit Öffnung;5-38a.8d;Endovaskuläre Implantation von Stent-Prothesen: Aorta thoracoabdominalis: Stent-Prothese, mit 2 Öffnungen
ZE2021-189;Stent-Prothesen an der Aorta, mit Öffnung;5-38a.8e;Endovaskuläre Implantation von Stent-Prothesen: Aorta thoracoabdominalis: Stent-Prothese, mit 3 Öffnungen
ZE2021-189;Stent-Prothesen an der Aorta, mit Öffnung;5-38a.8f;Endovaskuläre Implantation von Stent-Prothesen: Aorta thoracoabdominalis: Stent-Prothese, mit 4 oder mehr Öffnungen
ZE2021-189;Stent-Prothesen an der Aorta, mit Öffnung;5-38a.c1;Endovaskuläre Implantation von Stent-Prothesen: Aorta abdominalis: Stent-Prothese, mit 1 Öffnung
ZE2021-189;Stent-Prothesen an der Aorta, mit Öffnung;5-38a.c2;Endovaskuläre Implantation von Stent-Prothesen: Aorta abdominalis: Stent-Prothese, mit 2 Öffnungen
ZE2021-189;Stent-Prothesen an der Aorta, mit Öffnung;5-38a.c3;Endovaskuläre Implantation von Stent-Prothesen: Aorta abdominalis: Stent-Prothese, mit 3 oder mehr Öffnungen
ZE2021-190;Längerfristige Beatmungsentwöhnung;8-718.8*;Prolongierte Beatmungsentwöhnung auf spezialisierter intensivmedizinischer Beatmungsentwöhnungs-Einheit
ZE2021-190;Längerfristige Beatmungsentwöhnung;8-718.9*;Prolongierte Beatmungsentwöhnung auf spezialisierter nicht intensivmedizinischer Beatmungsentwöhnungs-Einheit
